bowler_id,runs,wicket_count,balls_bowled,maiden,dots,Fours,Sixes,wides,noballs,matches,economy_rate,average_wickets,dots_per_over,noballs_per_over,fours_per_over,sixes_per_over,bowl_performance_score
8059015.0,20,4,24,0,15.0,3,0,0,1,1,1.8518518518518516,10.0,6.25,1.5,1.25,0.0,10.0
9822392.0,7,3,18,0,14.0,1,0,0,0,1,0.8641975308641975,7.5,7.777777777777779,0.0,0.5555555555555556,0.0,9.94140092668302
3896801.0,27,4,24,0,14.0,4,1,0,0,1,2.5,10.0,5.833333333333334,0.0,1.6666666666666667,0.5555555555555556,9.73017170891251
7534722.0,28,4,24,0,13.0,2,2,0,0,1,2.5925925925925926,10.0,5.416666666666667,0.0,0.8333333333333334,1.1111111111111112,9.576860179885527
9382967.0,20,4,12,0,6.0,4,0,2,0,1,3.7037037037037033,10.0,5.0,0.0,3.3333333333333335,0.0,8.973834832379396
3490087.0,16,3,18,0,9.0,1,0,2,0,1,1.9753086419753085,7.5,5.0,0.0,0.5555555555555556,0.0,8.837557917688743
5636658.0,0,1,3,1,3.0,0,0,0,0,1,0.0,2.5,10.0,0.0,0.0,0.0,8.646770237121832
7570079.0,7,2,12,0,9.0,1,0,1,0,1,1.2962962962962963,5.0,7.5,0.0,0.8333333333333334,0.0,8.56500408830744
4769470.0,13,3,10,0,7.0,0,2,0,0,1,2.888888888888889,7.5,6.999999999999999,0.0,0.0,2.666666666666667,8.524121013900245
8981811.0,14,2,24,1,17.0,1,0,2,0,1,1.2962962962962963,5.0,7.083333333333334,0.0,0.4166666666666667,0.0,8.503679476696647
4435633.0,24,3,24,0,10.0,1,1,1,0,1,2.2222222222222223,7.5,4.166666666666667,0.0,0.4166666666666667,0.5555555555555556,8.47301717089125
9048360.0,12,2,18,0,11.0,1,0,2,0,1,1.4814814814814814,5.0,6.111111111111112,0.0,0.5555555555555556,0.0,8.197056418642681
3172952.0,29,3,24,0,9.0,3,0,0,0,1,2.685185185185185,7.5,3.75,0.0,1.25,0.0,8.197056418642681
8142084.0,31,3,24,0,11.0,4,1,0,0,1,2.8703703703703702,7.5,4.583333333333334,0.0,1.6666666666666667,0.5555555555555556,8.186835650040884
251509.0,32,5,60,1,43.0,1,2,1,0,3,1.1851851851851851,4.166666666666667,7.166666666666667,0.0,0.16666666666666669,0.4444444444444445,8.156173344235487
9362702.0,12,2,24,0,12.0,0,0,0,0,1,1.1111111111111112,5.0,5.0,0.0,0.0,0.0,8.156173344235487
9373202.0,52,6,66,1,44.0,6,2,0,0,3,1.7508417508417504,5.0,6.666666666666667,0.0,0.9090909090909091,0.4040404040404041,8.115290269828291
4888260.0,32,3,24,0,9.0,3,1,0,0,1,2.962962962962963,7.5,3.75,0.0,1.25,0.5555555555555556,7.992641046606705
1742453.0,4,2,6,0,3.0,0,0,1,0,1,1.4814814814814814,5.0,5.0,0.0,0.0,0.0,7.992641046606705
2980515.0,17,2,24,1,13.0,2,0,0,0,1,1.574074074074074,5.0,5.416666666666667,0.0,0.8333333333333334,0.0,7.982420278004906
8145703.0,34,3,24,0,10.0,4,1,2,0,1,3.148148148148148,7.5,4.166666666666667,0.0,1.6666666666666667,0.5555555555555556,7.972199509403107
2789604.0,123,12,119,1,60.0,15,3,0,0,5,2.296918767507003,6.0,5.042016806722689,0.0,1.2605042016806722,0.33613445378151263,7.941176470588234
3600799.0,47,5,42,0,20.0,4,2,1,0,2,2.4867724867724865,6.25,4.761904761904762,0.0,0.9523809523809523,0.6349206349206349,7.8845929213876875
8145745.0,56,6,72,0,37.0,4,1,1,0,3,1.728395061728395,5.0,5.138888888888888,0.0,0.5555555555555556,0.18518518518518517,7.846143363314255
7785497.0,17,2,24,0,11.0,1,0,1,0,1,1.574074074074074,5.0,4.583333333333334,0.0,0.4166666666666667,0.0,7.829108748977923
8964892.0,25,2,24,0,16.0,3,1,1,0,1,2.314814814814815,5.0,6.666666666666667,0.0,1.25,0.5555555555555556,7.8188879803761235
2231928.0,3,1,6,0,5.0,0,0,2,0,1,1.1111111111111112,2.5,8.333333333333334,0.0,0.0,0.0,7.788225674570727
8246433.0,123,11,138,3,91.0,14,1,9,2,6,1.9806763285024154,4.583333333333333,6.5942028985507255,0.5217391304347826,1.0144927536231885,0.0966183574879227,7.774538732269187
8246573.0,209,21,223,3,114.0,18,5,3,0,10,2.0827105132037866,5.25,5.112107623318386,0.0,0.8071748878923767,0.29895366218236175,7.758910860231218
5595302.0,195,21,228,1,107.0,9,6,4,1,10,1.9005847953216375,5.25,4.692982456140351,0.15789473684210525,0.39473684210526316,0.3508771929824561,7.746266729784395
3296264.0,22,2,24,0,13.0,1,1,1,0,1,2.0370370370370368,5.0,5.416666666666667,0.0,0.4166666666666667,0.5555555555555556,7.726901062959934
3188681.0,60,5,48,0,22.0,6,3,0,0,2,2.7777777777777777,6.25,4.583333333333334,0.0,1.25,0.8333333333333334,7.665576451349142
366351.0,18,3,27,1,17.0,1,1,0,0,2,1.4814814814814814,3.75,6.296296296296297,0.0,0.37037037037037035,0.49382716049382713,7.626964658853456
2082352.0,17,2,18,0,9.0,0,1,1,0,1,2.098765432098765,5.0,5.0,0.0,0.0,0.7407407407407407,7.611065685472881
8246440.0,243,27,295,4,156.0,13,8,4,0,15,1.830508474576271,4.5,5.288135593220339,0.0,0.4406779661016949,0.3615819209039548,7.595728758124645
8934764.0,2,1,6,0,4.0,0,0,0,0,1,0.7407407407407407,2.5,6.666666666666667,0.0,0.0,0.0,7.58381030253475
1663920.0,2,1,6,0,4.0,0,0,0,0,1,0.7407407407407407,2.5,6.666666666666667,0.0,0.0,0.0,7.58381030253475
8228009.0,8,1,12,0,10.0,1,0,2,0,1,1.4814814814814814,2.5,8.333333333333334,0.0,0.8333333333333334,0.0,7.563368765331152
8464903.0,9,2,12,0,4.0,0,0,0,0,1,1.6666666666666665,5.0,3.3333333333333335,0.0,0.0,0.0,7.542927228127555
8766435.0,102,11,119,0,58.0,6,3,1,0,6,1.9047619047619044,4.583333333333333,4.873949579831932,0.0,0.504201680672269,0.33613445378151263,7.507369260050709
3913447.0,11,2,12,0,5.0,1,0,0,0,1,2.0370370370370368,5.0,4.166666666666667,0.0,0.8333333333333334,0.0,7.502044153720359
8088695.0,8,1,18,1,12.0,0,0,1,0,1,0.9876543209876543,2.5,6.666666666666667,0.0,0.0,0.0,7.474788770782229
4165265.0,179,15,136,0,54.0,17,3,9,2,6,2.9248366013071894,6.25,3.9705882352941178,0.5294117647058822,1.25,0.29411764705882354,7.4668125631282765
4504002.0,47,4,48,0,20.0,2,1,3,0,2,2.1759259259259256,5.0,4.166666666666667,0.0,0.4166666666666667,0.2777777777777778,7.430498773507768
8833075.0,179,16,176,0,86.0,11,5,3,4,8,2.26010101010101,5.0,4.886363636363637,0.8181818181818181,0.625,0.3787878787878788,7.401601873188136
2727304.0,43,4,72,0,40.0,2,1,0,0,3,1.3271604938271604,3.333333333333333,5.555555555555556,0.0,0.2777777777777778,0.18518518518518517,7.399836467702371
5602778.0,18,2,18,0,8.0,1,1,0,0,1,2.2222222222222223,5.0,4.444444444444445,0.0,0.5555555555555556,0.7407407407407407,7.393022621967839
8095352.0,22,2,24,0,9.0,0,1,0,0,1,2.0370370370370368,5.0,3.75,0.0,0.0,0.5555555555555556,7.389615699100572
2904796.0,27,2,24,0,11.0,2,0,1,0,1,2.5,5.0,4.583333333333334,0.0,0.8333333333333334,0.0,7.389615699100572
9324580.0,21,2,18,0,9.0,3,0,0,0,1,2.5925925925925926,5.0,5.0,0.0,1.6666666666666667,0.0,7.379394930498773
8353169.0,16,2,18,0,6.0,1,0,0,0,1,1.9753086419753085,5.0,3.3333333333333335,0.0,0.5555555555555556,0.0,7.365767239029708
2695468.0,105,8,96,1,45.0,9,4,1,0,4,2.4305555555555554,5.0,4.6875,0.0,0.9375,0.5555555555555556,7.353843008994277
9373335.0,48,4,48,0,19.0,3,1,1,0,2,2.2222222222222223,5.0,3.9583333333333335,0.0,0.625,0.2777777777777778,7.348732624693377
4772620.0,58,5,72,0,32.0,5,0,1,0,3,1.7901234567901236,4.166666666666667,4.444444444444445,0.0,0.6944444444444445,0.0,7.3146633960207135
9785943.0,26,2,24,0,10.0,1,1,1,0,1,2.4074074074074074,5.0,4.166666666666667,0.0,0.4166666666666667,0.5555555555555556,7.287408013082583
6496776.0,164,15,186,2,97.0,9,5,9,3,9,1.9593787335722817,4.166666666666667,5.21505376344086,0.5806451612903225,0.48387096774193544,0.35842293906810035,7.287342072639992
4462359.0,94,8,108,0,56.0,5,4,0,0,5,1.934156378600823,4.0,5.185185185185185,0.0,0.462962962962963,0.49382716049382713,7.285363859362224
4872902.0,60,5,60,0,33.0,5,2,0,0,3,2.2222222222222223,4.166666666666667,5.500000000000001,0.0,0.8333333333333334,0.4444444444444445,7.281275551921504
